               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.056342,            0.044783,                   0,             0.48402,             0.59091,              0.5097,             0.23767,            0.053256,            0.029572,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.053473,             0.04422,                   0,             0.50818,             0.60227,             0.57043,             0.23685,            0.051943,            0.027752,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.054915,            0.042668,                   0,             0.48953,             0.61932,             0.58528,             0.25351,            0.052393,            0.027142,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.054411,            0.042461,                   0,             0.51257,             0.67045,             0.60052,             0.26723,            0.051573,             0.02663,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.054559,            0.042527,                   0,             0.56462,             0.78842,             0.69531,             0.32128,            0.050039,            0.025177,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.053168,            0.043004,                   0,              0.5079,             0.77273,             0.66897,              0.3117,            0.048011,            0.025322,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.053458,            0.041962,                   0,             0.56598,             0.71023,             0.71198,             0.32709,            0.050016,            0.024872,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.053463,            0.041666,                   0,             0.53152,             0.74432,              0.6713,             0.31509,            0.048733,            0.025185,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.052102,            0.041391,                   0,             0.57934,             0.67614,              0.6994,             0.32976,            0.049662,            0.024635,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.052148,            0.042341,                   0,             0.49011,             0.72159,             0.64976,             0.31472,            0.048808,            0.026367,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.052881,            0.042058,                   0,             0.52231,             0.59659,             0.62102,             0.30309,            0.049429,            0.027859,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.051834,            0.041782,                   0,             0.44714,             0.65909,             0.59577,             0.29648,            0.047806,             0.02774,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.051394,            0.041605,                   0,             0.49593,             0.53977,             0.55695,             0.26477,            0.049742,            0.028877,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.051744,            0.041961,                   0,             0.51694,             0.60795,             0.62373,             0.30396,             0.04814,            0.027046,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.052268,            0.042699,                   0,             0.52828,             0.73813,             0.64281,              0.2722,            0.049469,            0.027027,                   0,           0.0074755,           0.0074755,           0.0074755
